177570 147    177570    0    0   800      0      0   1783    564   2   0
178701 148    178701    0    0   850    150      0   1082    542   3   0
179918 149    179918    0    0   700    400      0    123    621   0   0
181058 150    181058    0    0   850    200      0   1271    535   0   0
182746 151    182746    0    0   850    950      0    259    853   0   0
184474 152    184474    0    0  1500    650      0   2614    632  13   0
185618 153    185618    0    0   950    200      0    800    519   0   0
186276 154    186276   15    0   850    900   1050    525    253   5   3
186677 155    186677   15    0   850    750    725    203    143   1   0
187857 156    187857    1    0   650    850    100     31    617   1   0
189146 157    189146    1    0  1300    100      0   2563    480   3   0
190304 158    190304    2    0   750      0      0   1828    595   2   0
190700 159    190700   15    0   750   1000    725    139      3   0   0
191848 160    191848    0    0   600    200      0      0    664   0   0
192310 161    192310   15    0   800   1000    825     66    179   0   0
193449 162    193449    0    0   600      0      0    153    650   9   0
194556 163    194556    1    0   650    350      0     74    619   9   0
196221 164    196221    0    1  1700   1200      0   5705   1576  16   5
197365 165    197365    0    0   900    650      0   1875    532   2   0
197697 166    197697   13    0   700    700    725    134    145   0   0
198912 167    198912    0    0  1250    250      0   2239    408   5   1
200086 168    200086    0    0  1050    450      0    349    358   5   0
201164 169    201164    0    0   800    300      0    869    535   0   0
202883 170    202883    0    0   950    250      0   2680    819   2   0
204028 171    204028    1    0   850    100      0   2063    552   0   0
205074 172    205074    0    0   750    450      0    207    544   0   0
206272 173    206272   15    0  1350    300      0     11     69   0   0
207383 174    207383    0    0   800    200      0    986    529   0   0
208572 175    208572    0    0   750    250      0    759    565   3   0
210245 176    210245    0    0   800   1050      0     57    870   0   0
210702 177    210702   10    0   650    950    725     97    245   0   0
212369 178    212369    0    0  1250    100      0   3526    717   2   0
213514 179    213514    1    0  1100      0      0   3086    442   2   0
215247 180    215247    0    0  1100    150      0   3003    768   0   0
216399 181    216399    0    0   750    250      0    367    585   2   0
217573 182    217573    0    0   750    100      0   2266    604   0   0
218727 183    218727   12    0   600      0      0      3    617   0   0
219938 184    219938    0    0   700    200      0   1139    642   0   0
221630 185    221630    0    0   950    575      0   3271    819   0   0
222910 186    222910    0    0   800    475      0    466    633   0   0
224078 187    224078    0    0   950    275      0   2097    522   0   0
225763 188    225763    0    0   800    400      0   1722    870   0   0
226880 189    226880    0    0   650    350      0      0    583   0   0
228056 190    228056    5    0  1100      0      0   3941    494   1   0
228884 191    228884   15    0   750   1050   1125    373    394   1   0
