81387 68     81387    6    0   800    750   1050
82547 69     82547    0    0   750    300      0
83701 70     83701    0    0   850    600      0
84859 71     84859    0    0   700      0      0
86225 72     86225    0    0  1050    100      0
87551 73     87551    0    0   850    350      0
89316 74     89316    0    0   900    700    400
90568 75     90568    0    0   650    150      0
92319 76     92319    0    0   800    250      0
93522 77     93522    0    0  1000    250      0
94835 78     94835    0    0  1150      0      0
96089 79     96089    0    0   750      0      0
97318 80     97318    0    0   750    450      0
97851 81     97851   14    0   700   1050    900
99027 82     99027    0    0  1250    300      0
100178 83    100178    0    0   850    350      0
101537 84    101537    0    0  1050    300      0
103285 85    103285    0    0  1150    500      0
103814 86    103814   16    0   850   1000    825
105005 87    105005    0    0   900      0      0
106163 88    106163    0    0   700    200      0
107215 89    107215    0    0   800    300      0
108984 90    108984    0    0  1300    575      0
110143 91    110143    0    0   800    250      0
111921 92    111921   12    0   600      0      0
112655 93    112655    8    0   750    900    825
113817 94    113817    0    0   900    450      0
115079 95    115079    0    0   900    700      0
115715 96    115715   18    0  1050   1000    900
116295 97    116295   15    0   900   1000    825
117463 98    117463    0    0   800    250      0
118746 99    118746    0    0  1100    300      0
119141 100    119141   13    0   800    750    725
120267 101    120267    0    0   950    300      0
121549 102    121549    5    0  1050     50      0
122786 103    122786    0    0   650     50      0
124544 104    124544    0    0  1450   1150      0
125100 105    125100    6    0   650    700    725
126872 106    126872    2    0   700    850   1050
127525 107    127525   14    0   950   1250   1050
127922 108    127922   15    0   750    900    875
128601 109    128601    9    0   800    750    725
129696 110    129696    0    0   900    600      0
130390 111    130390   13    0   850   1150   1125
131568 112    131568    0    0   650    250      0
132697 113    132697    1    0   650    100      0
133769 114    133769   18    0  1050   1200    900
135012 115    135012    0    0   900    225      0
136771 116    136771    0    0  1050    350      0
138005 117    138005    0    0   800    400      0
139232 118    139232    0    0   950    650      0
140638 119    140638    0    0   800    200      0
141773 120    141773    0    0   850    300      0
142968 121    142968    0    0   600    100      0
144742 122    144742    0    0   700    550    800
145928 123    145928   12    0   600      0      0
147378 124    147378    4    0   850    850    825
148612 125    148612    0    0   750    300      0
150390 126    150390    0    0  1500    950      0
151588 127    151588    0    0   800    150      0
153071 128    153071    0    0  1150    600      0
154460 129    154460    0    0   950    275      0
156242 130    156242    0    0  1300    350      0
157563 131    157563    0    0  1350    600      0
159346 132    159346    0    0  1800    700      0
160614 133    160614    0    0  1300    700      0
161754 134    161754   15    0   750      0      0
163526 135    163526    0    0   700    550      0
164723 136    164723    0    0   950    250      0
166500 137    166500    2    0   750    900    425
167801 138    167801    2    0   700    150      0
168453 139    168453    7    0   750    850    725
169592 140    169592    0    0   650    550      0
171372 141    171372    1    0  2100   1050      0
171807 142    171807   19    0   950    900    875
172287 143    172287   15    0   750   1000    725
172870 144    172870   11    0   650    850   1050
174651 145    174651    0    0  1350    550      0
176438 146    176438    9    0  1950    750      0
177668 147    177668    0    0   600     50      0
178792 148    178792    0    0   750    200      0
180050 149    180050    0    0   700    600      0
181829 150    181829    0    0  1900   1000      0
183043 151    183043    0    0   750    500      0
184839 152    184839    0    0  1200    550      0
186609 153    186609   10    0  2400    650      0
188406 154    188406    0    0  1600    450      0
189667 155    189667    0    0   850    625      0
191299 156    191299    0    0  1450    550      0
192446 157    192446    0    0   800    100      0
194223 158    194223    0    0  1400    550      0
195625 159    195625    0    0   950    250      0
197407 160    197407    0    0  2050    700      0
198530 161    198530    0    0   650    450      0
200325 162    200325    0    0  1100    575      0
200804 163    200804   12    0   950    700    725
202076 164    202076    0    0  1050    600      0
203874 165    203874    2    0  1450    800      0
205144 166    205144    0    0   650    700      0
206356 167    206356    0    0  1150    450      0
208152 168    208152    0    0   850    700      0
209469 169    209469    0    0  1050    250      0
210731 170    210731    0    0   650     50      0
212014 171    212014    0    0   850    100      0
212641 172    212641    9    0   750    750    725
213902 173    213902    0    0   850      0      0
215072 174    215072    0    0   800    150      0
216430 175    216430    0    0   900    450      0
217688 176    217688    0    0  1200     50      0
